0.04	17.34
0.04	21.77
0.04	26.39
-0.10	34.69
0.04	35.24
-0.13	57.75
-0.07	62.55
-0.15	98.90
0.06	217.92
0.07	220.32
0.04	237.48
0.05	265.16
0.05	278.07
0.04	17.52
0.04	21.95
0.04	26.56
-0.10	46.29
-0.21	65.47
-0.07	103.83
0.03	174.84
0.09	220.39
0.04	240.12
0.04	242.52
0.10	259.12
0.10	261.15
0.04	26.94
-0.18	46.50
0.04	58.49
-0.04	73.62
-0.06	76.02
-0.08	105.18
0.04	145.96
0.06	214.97
0.06	234.34
0.06	240.25
0.05	242.09
0.04	9.04
0.04	13.65
0.04	22.68
-0.06	51.27
-0.15	73.95
0.04	88.89
-0.06	97.01
-0.04	146.43
-0.03	186.64
0.04	205.08
0.05	223.16
0.04	229.80
0.10	234.77
0.04	236.43
0.14	258.75
0.04	270.00
-0.11	49.45
-0.06	50.19
-0.17	80.08
-0.04	92.26
-0.04	146.88
0.04	196.51
-0.04	205.56
0.04	209.98
0.06	227.33
0.03	243.75
0.07	248.73
0.08	272.54
-0.13	42.62
-0.10	74.73
-0.05	80.45
0.05	231.20
0.04	232.68
0.13	238.59
-0.04	259.99
0.05	267.00
-0.04	268.66
0.05	281.39
-0.05	39.47
-0.08	42.05
-0.22	69.71
-0.04	201.58
-0.04	206.00
0.04	221.68
0.06	232.93
0.09	237.73
0.04	258.20
-0.04	260.04
0.10	269.26
-0.15	43.34
-0.06	65.47
-0.16	71.74
-0.04	214.86
0.06	232.38
0.07	248.79
0.05	264.28
-0.04	264.65
-0.07	53.88
-0.04	63.11
-0.17	79.90
0.04	215.70
0.07	227.88
0.04	231.39
0.04	244.49
0.06	249.47
0.04	269.58
0.10	286.56
-0.13	34.86
-0.11	64.18
-0.12	74.69
-0.04	148.28
0.04	227.40
0.08	228.69
0.04	234.96
0.05	240.68
0.04	260.96
0.05	283.46
0.05	291.95
-0.12	49.08
-0.12	58.31
-0.07	82.48
-0.20	110.90
-0.04	202.42
-0.04	202.97
0.09	209.98
0.04	226.96
0.04	238.77
0.08	262.02
0.04	266.08
0.05	272.17
-0.08	39.84
-0.05	46.48
-0.14	75.25
-0.12	75.43
0.03	211.91
0.04	230.16
0.11	236.25
-0.08	52.40
-0.21	77.31
0.04	88.20
0.05	219.40
0.10	250.39
-0.04	257.41
0.04	262.02
0.05	292.28
-0.13	38.36
-0.08	60.49
-0.25	102.36
0.12	216.52
0.11	266.68
0.04	269.26
-0.17	44.82
-0.06	67.68
-0.09	100.51
0.04	208.22
0.06	224.08
0.04	225.74
-0.04	230.53
0.08	247.50
0.06	276.82
-0.10	41.15
-0.08	67.90
-0.14	93.00
-0.03	204.26
0.04	224.75
0.08	224.93
0.04	233.42
0.13	243.75
0.06	271.25
-0.22	54.59
-0.06	82.44
-0.04	199.92
-0.04	204.34
0.09	239.75
0.05	256.35
-0.04	262.81
0.04	279.59
0.11	280.70
-0.10	37.64
-0.12	52.03
-0.04	57.94
-0.12	78.61
-0.08	123.44
-0.04	204.82
0.07	220.50
0.08	232.31
0.06	254.45
0.08	265.89
0.06	310.18
0.04	18.07
-0.18	43.89
-0.08	56.25
-0.04	78.38
-0.24	113.98
0.05	208.95
0.07	232.19
0.07	252.11
0.05	256.54
-0.09	47.79
-0.06	66.43
-0.16	98.35
0.03	155.92
0.07	216.26
0.11	240.43
0.04	258.33
0.08	264.23
0.11	269.58
0.04	23.24
0.04	27.66
0.04	32.27
-0.19	46.84
-0.06	54.96
-0.14	68.24
-0.08	129.28
0.03	209.88
0.05	221.86
